country,item,year,seed
351,2511,1961,3371.0
351,2511,1962,3326.0
351,2511,1963,3551.0
351,2511,1964,3201.0
351,2511,1965,3336.0
351,2511,1966,3581.0
351,2511,1967,3450.0
351,2511,1968,3520.0
351,2511,1969,3560.0
351,2511,1970,3670.0
351,2511,1971,3680.0
351,2511,1972,3700.0
351,2511,1973,3830.0
351,2511,1974,3950.0
351,2511,1975,4115.0
351,2511,1976,4050.0
351,2511,1977,4200.0
351,2511,1978,4250.0
351,2511,1979,4000.0
351,2511,1980,3950.0
351,2511,1981,4050.0
351,2511,1982,4200.0
351,2511,1983,4300.0
351,2511,1984,4390.0
351,2511,1985,4500.0
351,2511,1986,4300.0
351,2511,1987,4320.0
351,2511,1988,4535.0
351,2511,1989,4600.0
351,2511,1990,4650.0
351,2511,1991,4640.0
351,2511,1992,4590.0
351,2511,1993,5100.0
351,2511,1994,4900.0
351,2511,1995,5120.0
351,2511,1996,5100.0
351,2511,1997,5200.0
351,2511,1998,5050.0
351,2511,1999,5100.0
351,2511,2000,5000.0
351,2511,2001,4800.0
351,2511,2002,4400.0
351,2511,2003,4500.0
351,2511,2004,4800.0
351,2511,2005,4600.0
351,2511,2006,4130.0
351,2511,2007,4100.0
351,2511,2008,4400.0
351,2511,2009,4690.0
351,2511,2010,4690.0
351,2511,2011,4690.0
351,2511,2012,4580.0
351,2511,2013,4600.0
351,2805,1961,4168.0
351,2805,1962,4295.0
351,2805,1963,4568.0
351,2805,1964,4601.0
351,2805,1965,4701.0
351,2805,1966,4705.0
351,2805,1967,4622.0
351,2805,1968,4702.0
351,2805,1969,4989.0
351,2805,1970,5366.0
351,2805,1971,5415.0
351,2805,1972,5404.0
351,2805,1973,5471.0
351,2805,1974,5506.0
351,2805,1975,5580.0
351,2805,1976,5476.0
351,2805,1977,5355.0
351,2805,1978,5264.0
351,2805,1979,5272.0
351,2805,1980,5240.0
351,2805,1981,5193.0
351,2805,1982,5214.0
351,2805,1983,5226.0
351,2805,1984,4836.0
351,2805,1985,5079.0
351,2805,1986,5124.0
351,2805,1987,5156.0
351,2805,1988,5255.0
351,2805,1989,5308.0
351,2805,1990,4940.0
351,2805,1991,5119.0
351,2805,1992,4998.0
351,2805,1993,4896.0
351,2805,1994,4828.0
351,2805,1995,5134.0
351,2805,1996,5034.0
351,2805,1997,4714.0
351,2805,1998,4814.0
351,2805,1999,4747.0
351,2805,2000,4613.0
351,2805,2001,4546.0
351,2805,2002,4478.0
351,2805,2003,4744.0
351,2805,2004,4811.0
351,2805,2005,4678.0
351,2805,2006,4411.0
351,2805,2007,4411.0
351,2805,2008,4478.0
351,2805,2009,4511.0
351,2805,2010,4544.0
351,2805,2011,4678.0
351,2805,2012,4744.0
351,2805,2013,4679.0
351,2513,1961,545.0
351,2513,1962,438.0
351,2513,1963,365.0
351,2513,1964,341.0
351,2513,1965,280.0
351,2513,1966,219.0
351,2513,1967,236.0
351,2513,1968,240.0
351,2513,1969,247.0
351,2513,1970,233.0
351,2513,1971,224.0
351,2513,1972,283.0
351,2513,1973,213.0
351,2513,1974,179.0
351,2513,1975,156.0
351,2513,1976,159.0
351,2513,1977,160.0
351,2513,1978,152.0
351,2513,1979,130.0
351,2513,1980,126.0
351,2513,1981,120.0
351,2513,1982,126.0
351,2513,1983,126.0
351,2513,1984,107.0
351,2513,1985,116.0
351,2513,1986,104.0
351,2513,1987,103.0
351,2513,1988,121.0
351,2513,1989,124.0
351,2513,1990,173.0
351,2513,1991,168.0
351,2513,1992,158.0
351,2513,1993,168.0
351,2513,1994,179.0
351,2513,1995,168.0
351,2513,1996,168.0
351,2513,1997,143.0
351,2513,1998,139.0
351,2513,1999,112.0
351,2513,2000,81.0
351,2513,2001,96.0
351,2513,2002,81.0
351,2513,2003,83.0
351,2513,2004,87.0
351,2513,2005,91.0
351,2513,2006,81.0
351,2513,2007,83.0
351,2513,2008,66.0
351,2513,2009,68.0
351,2513,2010,54.0
351,2513,2011,51.0
351,2513,2012,49.0
351,2513,2013,49.0
351,2514,1961,831.0
351,2514,1962,999.0
351,2514,1963,998.0
351,2514,1964,1018.0
351,2514,1965,1106.0
351,2514,1966,1001.0
351,2514,1967,1001.0
351,2514,1968,1021.0
351,2514,1969,1000.0
351,2514,1970,1138.0
351,2514,1971,1111.0
351,2514,1972,1081.0
351,2514,1973,1131.0
351,2514,1974,1201.0
351,2514,1975,1261.0
351,2514,1976,1281.0
351,2514,1977,1301.0
351,2514,1978,1331.0
351,2514,1979,1341.0
351,2514,1980,1261.0
351,2514,1981,1201.0
351,2514,1982,1212.0
351,2514,1983,928.0
351,2514,1984,1215.0
351,2514,1985,1331.0
351,2514,1986,1362.0
351,2514,1987,1342.0
351,2514,1988,1397.0
351,2514,1989,1457.0
351,2514,1990,1452.0
351,2514,1991,1502.0
351,2514,1992,1462.0
351,2514,1993,1452.0
351,2514,1994,1562.0
351,2514,1995,1602.0
351,2514,1996,1752.0
351,2514,1997,1702.0
351,2514,1998,1822.0
351,2514,1999,1801.0
351,2514,2000,1741.0
351,2514,2001,1901.0
351,2514,2002,1801.0
351,2514,2003,1901.0
351,2514,2004,2001.0
351,2514,2005,1151.0
351,2514,2006,1201.0
351,2514,2007,1301.0
351,2514,2008,1361.0
351,2514,2009,1451.0
351,2514,2010,1466.0
351,2514,2011,1501.0
351,2514,2012,1651.0
351,2514,2013,1651.0
351,2515,1961,189.0
351,2515,1962,158.0
351,2515,1963,137.0
351,2515,1964,137.0
351,2515,1965,147.0
351,2515,1966,137.0
351,2515,1967,116.0
351,2515,1968,137.0
351,2515,1969,137.0
351,2515,1970,133.0
351,2515,1971,134.0
351,2515,1972,126.0
351,2515,1973,126.0
351,2515,1974,116.0
351,2515,1975,116.0
351,2515,1976,116.0
351,2515,1977,126.0
351,2515,1978,105.0
351,2515,1979,95.0
351,2515,1980,94.0
351,2515,1981,84.0
351,2515,1982,84.0
351,2515,1983,79.0
351,2515,1984,74.0
351,2515,1985,73.0
351,2515,1986,79.0
351,2515,1987,90.0
351,2515,1988,84.0
351,2515,1989,84.0
351,2515,1990,102.0
351,2515,1991,105.0
351,2515,1992,84.0
351,2515,1993,74.0
351,2515,1994,80.0
351,2515,1995,63.0
351,2515,1996,63.0
351,2515,1997,64.0
351,2515,1998,52.0
351,2515,1999,67.0
351,2515,2000,53.0
351,2515,2001,39.0
351,2515,2002,33.0
351,2515,2003,29.0
351,2515,2004,29.0
