country,item,year,total_population_both_sexes
351,2501,1961,675173.0
351,2501,1962,686277.0
351,2501,1963,698324.0
351,2501,1964,712071.0
351,2501,1965,728010.0
351,2501,1966,746346.0
351,2501,1967,766783.0
351,2501,1968,788658.0
351,2501,1969,811029.0
351,2501,1970,833146.0
351,2501,1971,854876.0
351,2501,1972,876240.0
351,2501,1973,896847.0
351,2501,1974,916273.0
351,2501,1975,934253.0
351,2501,1976,950601.0
351,2501,1977,965463.0
351,2501,1978,979364.0
351,2501,1979,993055.0
351,2501,1980,1007126.0
351,2501,1981,1021606.0
351,2501,1982,1036453.0
351,2501,1983,1052063.0
351,2501,1984,1068905.0
351,2501,1985,1087236.0
351,2501,1986,1107277.0
351,2501,1987,1128752.0
351,2501,1988,1150765.0
351,2501,1989,1172092.0
351,2501,1990,1191815.0
351,2501,1991,1209655.0
351,2501,1992,1225776.0
351,2501,1993,1240258.0
351,2501,1994,1253340.0
351,2501,1995,1265229.0
351,2501,1996,1275896.0
351,2501,1997,1285339.0
351,2501,1998,1293859.0
351,2501,1999,1301851.0
351,2501,2000,1309631.0
351,2501,2001,1317322.0
351,2501,2002,1324949.0
351,2501,2003,1332606.0
351,2501,2004,1340363.0
351,2501,2005,1348270.0
351,2501,2006,1356377.0
351,2501,2007,1364705.0
351,2501,2008,1373219.0
351,2501,2009,1381857.0
351,2501,2010,1390552.0
351,2501,2011,1399292.0
351,2501,2012,1408042.0
351,2501,2013,1416667.0
2,2501,1961,8954.0
2,2501,1962,9142.0
2,2501,1963,9340.0
2,2501,1964,9547.0
2,2501,1965,9765.0
2,2501,1966,9990.0
2,2501,1967,10222.0
2,2501,1968,10466.0
2,2501,1969,10729.0
2,2501,1970,11016.0
2,2501,1971,11323.0
2,2501,1972,11644.0
2,2501,1973,11966.0
2,2501,1974,12274.0
2,2501,1975,12552.0
2,2501,1976,12807.0
2,2501,1977,13034.0
2,2501,1978,13200.0
2,2501,1979,13257.0
2,2501,1980,13180.0
2,2501,1981,12964.0
2,2501,1982,12634.0
2,2501,1983,12242.0
2,2501,1984,11854.0
2,2501,1985,11529.0
2,2501,1986,11262.0
2,2501,1987,11063.0
2,2501,1988,11013.0
2,2501,1989,11215.0
2,2501,1990,11731.0
2,2501,1991,12612.0
2,2501,1992,13812.0
2,2501,1993,15175.0
2,2501,1994,16485.0
2,2501,1995,17586.0
2,2501,1996,18415.0
2,2501,1997,19021.0
2,2501,1998,19497.0
2,2501,1999,19987.0
2,2501,2000,20595.0
2,2501,2001,21348.0
2,2501,2002,22203.0
2,2501,2003,23116.0
2,2501,2004,24019.0
2,2501,2005,24861.0
2,2501,2006,25631.0
2,2501,2007,26349.0
2,2501,2008,27032.0
2,2501,2009,27708.0
2,2501,2010,28398.0
2,2501,2011,29105.0
2,2501,2012,29825.0
2,2501,2013,30552.0
3,2501,1961,1669.0
3,2501,1962,1719.0
3,2501,1963,1771.0
3,2501,1964,1822.0
3,2501,1965,1874.0
3,2501,1966,1926.0
3,2501,1967,1979.0
3,2501,1968,2031.0
3,2501,1969,2085.0
3,2501,1970,2139.0
3,2501,1971,2195.0
3,2501,1972,2251.0
3,2501,1973,2309.0
3,2501,1974,2367.0
3,2501,1975,2427.0
3,2501,1976,2486.0
3,2501,1977,2547.0
3,2501,1978,2608.0
3,2501,1979,2671.0
3,2501,1980,2735.0
3,2501,1981,2799.0
3,2501,1982,2864.0
3,2501,1983,2930.0
3,2501,1984,3001.0
3,2501,1985,3078.0
3,2501,1986,3162.0
3,2501,1987,3252.0
3,2501,1988,3336.0
3,2501,1989,3404.0
3,2501,1990,3447.0
3,2501,1991,3460.0
3,2501,1992,3447.0
3,2501,1993,3417.0
3,2501,1994,3384.0
3,2501,1995,3358.0
3,2501,1996,3341.0
3,2501,1997,3331.0
3,2501,1998,3325.0
3,2501,1999,3318.0
3,2501,2000,3305.0
3,2501,2001,3286.0
3,2501,2002,3264.0
3,2501,2003,3239.0
3,2501,2004,3216.0
3,2501,2005,3196.0
3,2501,2006,3180.0
3,2501,2007,3166.0
3,2501,2008,3157.0
3,2501,2009,3151.0
3,2501,2010,3150.0
3,2501,2011,3154.0
4,2501,1961,11561.0
4,2501,1962,11845.0
4,2501,1963,12136.0
4,2501,1964,12443.0
4,2501,1965,12771.0
4,2501,1966,13123.0
4,2501,1967,13497.0
4,2501,1968,13887.0
4,2501,1969,14287.0
4,2501,1970,14691.0
4,2501,1971,15098.0
4,2501,1972,15512.0
4,2501,1973,15936.0
4,2501,1974,16375.0
4,2501,1975,16834.0
4,2501,1976,17311.0
4,2501,1977,17809.0
4,2501,1978,18331.0
4,2501,1979,18885.0
4,2501,1980,19475.0
4,2501,1981,20104.0
4,2501,1982,20767.0
4,2501,1983,21453.0
4,2501,1984,22150.0
4,2501,1985,22847.0
4,2501,1986,23539.0
4,2501,1987,24226.0
4,2501,1988,24905.0
4,2501,1989,25577.0
4,2501,1990,26240.0
4,2501,1991,26894.0
4,2501,1992,27535.0
4,2501,1993,28158.0
4,2501,1994,28753.0
4,2501,1995,29315.0
4,2501,1996,29845.0
4,2501,1997,30345.0
4,2501,1998,30820.0
4,2501,1999,31276.0
4,2501,2000,31719.0
4,2501,2001,32150.0
4,2501,2002,32573.0
4,2501,2003,33003.0
4,2501,2004,33461.0
4,2501,2005,33961.0
4,2501,2006,34507.0
4,2501,2007,35097.0
4,2501,2008,35725.0
4,2501,2009,36383.0
4,2501,2010,37063.0
4,2501,2011,37763.0
4,2501,2012,38482.0
4,2501,2013,39208.0
7,2501,1961,5057.0
7,2501,1962,5150.0
7,2501,1963,5245.0
7,2501,1964,5340.0
7,2501,1965,5434.0
7,2501,1966,5527.0
7,2501,1967,5620.0
7,2501,1968,5715.0
7,2501,1969,5817.0
7,2501,1970,5928.0
7,2501,1971,6049.0
7,2501,1972,6181.0
7,2501,1973,6323.0
7,2501,1974,6475.0
7,2501,1975,6638.0
7,2501,1976,6809.0
7,2501,1977,6990.0
7,2501,1978,7184.0
7,2501,1979,7399.0
7,2501,1980,7637.0
7,2501,1981,7902.0
7,2501,1982,8190.0
7,2501,1983,8490.0
